y,x,adj.r.squared
bpm_nbastatr,obpm_nbastatr,0.827434884160163
obpm_nbastatr,bpm_nbastatr,0.827434884160163
rapm_calc,orapm_calc,0.761980672106072
orapm_calc,rapm_calc,0.761980672106072
rapm_calc,rapm_both_calc,0.734531567691236
rapm_both_calc,rapm_calc,0.734531567691236
rapm_calc,apm_calc,0.675055839313175
apm_calc,rapm_calc,0.675055839313175
orpm_espn,rpm_espn,0.603741247244253
rpm_espn,orpm_espn,0.603741247244253
rapm_sz,orapm_sz,0.543434432950019
orapm_sz,rapm_sz,0.543434432950019
apm_calc,rapm_both_calc,0.517058242663457
rapm_both_calc,apm_calc,0.517058242663457
rapm_sz,pm_nbastatr,0.488870577420069
pm_nbastatr,rapm_sz,0.488870577420069
orapm_calc,rapm_both_calc,0.442048377396778
rapm_both_calc,orapm_calc,0.442048377396778
drapm_sz,rapm_sz,0.438460157290214
rapm_sz,drapm_sz,0.438460157290214
orapm_calc,apm_calc,0.419190711055719
apm_calc,orapm_calc,0.419190711055719
drapm_calc,rapm_both_calc,0.403508410849889
rapm_both_calc,drapm_calc,0.403508410849889
orapm_calc,orapm_sz,0.38125044479776
orapm_sz,orapm_calc,0.38125044479776
apm_calc,drapm_calc,0.350419193743068
drapm_calc,apm_calc,0.350419193743068
drapm_calc,rapm_calc,0.335629898493517
rapm_calc,drapm_calc,0.335629898493517
pm_nbastatr,rapm_both_calc,0.332630993905387
rapm_both_calc,pm_nbastatr,0.332630993905387
drapm_calc,drapm_sz,0.33222170503822
drapm_sz,drapm_calc,0.33222170503822
rapm_both_calc,rapm_sz,0.330853538432088
rapm_sz,rapm_both_calc,0.330853538432088
pm_nbastatr,rapm_calc,0.312483297279981
rapm_calc,pm_nbastatr,0.312483297279981
drpm_espn,rpm_espn,0.302880585469425
rpm_espn,drpm_espn,0.302880585469425
orapm_sz,pm_nbastatr,0.302739509155665
pm_nbastatr,orapm_sz,0.302739509155665
rapm_calc,rapm_sz,0.298006912465096
rapm_sz,rapm_calc,0.298006912465096
dbpm_nbastatr,bpm_nbastatr,0.285204748503031
bpm_nbastatr,dbpm_nbastatr,0.28520474850303
orpm_espn,obpm_nbastatr,0.28438363991343
obpm_nbastatr,orpm_espn,0.284383639913429
dbpm_nbastatr,drpm_espn,0.272765270416304
drpm_espn,dbpm_nbastatr,0.272765270416304
bpm_nbastatr,rpm_espn,0.256096156526674
rpm_espn,bpm_nbastatr,0.256096156526674
obpm_nbastatr,orapm_calc,0.236805882338315
orapm_calc,obpm_nbastatr,0.236805882338315
rapm_calc,orapm_sz,0.227764323659432
orapm_sz,rapm_calc,0.227764323659432
apm_calc,rapm_sz,0.213591874788671
rapm_sz,apm_calc,0.213591874788671
pm_nbastatr,orapm_calc,0.207435910449861
orapm_calc,pm_nbastatr,0.207435910449861
rapm_sz,orapm_calc,0.203715748108311
orapm_calc,rapm_sz,0.203715748108311
bpm_nbastatr,orpm_espn,0.190146935967942
orpm_espn,bpm_nbastatr,0.190146935967942
pm_nbastatr,rpm_espn,0.18934200791842
rpm_espn,pm_nbastatr,0.18934200791842
drapm_sz,pm_nbastatr,0.179131988977856
pm_nbastatr,drapm_sz,0.179131988977856
orapm_sz,rapm_both_calc,0.178514730639852
rapm_both_calc,orapm_sz,0.178514730639852
obpm_nbastatr,rpm_espn,0.175792948593684
rpm_espn,obpm_nbastatr,0.175792948593684
rapm_both_calc,bpm_nbastatr,0.174308613213426
bpm_nbastatr,rapm_both_calc,0.174308613213425
orpm_espn,orapm_calc,0.169407598367333
orapm_calc,orpm_espn,0.169407598367333
bpm_nbastatr,rapm_calc,0.160098843610509
rapm_calc,bpm_nbastatr,0.160098843610509
obpm_nbastatr,rapm_calc,0.15129883038551
rapm_calc,obpm_nbastatr,0.15129883038551
rapm_both_calc,rpm_espn,0.148942465413789
rpm_espn,rapm_both_calc,0.148942465413789
orapm_calc,bpm_nbastatr,0.1482842889605
bpm_nbastatr,orapm_calc,0.1482842889605
obpm_nbastatr,rapm_both_calc,0.144348250669411
rapm_both_calc,obpm_nbastatr,0.144348250669411
drapm_sz,rapm_both_calc,0.144280075663343
rapm_both_calc,drapm_sz,0.144280075663343
drapm_calc,pm_nbastatr,0.141398737006568
pm_nbastatr,drapm_calc,0.141398737006568
rpm_espn,rapm_calc,0.13742340676594
rapm_calc,rpm_espn,0.13742340676594
orapm_sz,orpm_espn,0.136123755731298
orpm_espn,orapm_sz,0.136123755731298
drapm_calc,rapm_sz,0.124043150419487
rapm_sz,drapm_calc,0.124043150419487
dbpm_nbastatr,rpm_espn,0.12343301575689
rpm_espn,dbpm_nbastatr,0.12343301575689
orpm_espn,pm_nbastatr,0.120953507681713
pm_nbastatr,orpm_espn,0.120953507681713
pm_nbastatr,apm_calc,0.119420206082209
apm_calc,pm_nbastatr,0.119420206082209
orapm_calc,rpm_espn,0.117864773045007
rpm_espn,orapm_calc,0.117864773045007
rapm_sz,rpm_espn,0.113685943696287
rpm_espn,rapm_sz,0.113685943696287
orpm_espn,rapm_calc,0.112101121313289
rapm_calc,orpm_espn,0.112101121313289
drapm_sz,apm_calc,0.111810852548012
apm_calc,drapm_sz,0.111810852548012
drpm_espn,drapm_sz,0.104194782091736
drapm_sz,drpm_espn,0.104194782091736
orpm_espn,rapm_both_calc,0.104142775955724
rapm_both_calc,orpm_espn,0.104142775955724
orapm_sz,apm_calc,0.0972412200029055
apm_calc,orapm_sz,0.0972412200029054
dbpm_nbastatr,drapm_calc,0.0912273747266349
drapm_calc,dbpm_nbastatr,0.0912273747266348
orapm_sz,rpm_espn,0.0906093914026523
rpm_espn,orapm_sz,0.0906093914026523
apm_calc,obpm_nbastatr,0.0863602306669185
obpm_nbastatr,apm_calc,0.0863602306669183
apm_calc,bpm_nbastatr,0.0857896804641531
bpm_nbastatr,apm_calc,0.085789680464153
drapm_calc,drpm_espn,0.0765406957271746
drpm_espn,drapm_calc,0.0765406957271746
drapm_sz,rapm_calc,0.0756310840042312
rapm_calc,drapm_sz,0.0756310840042312
apm_calc,rpm_espn,0.0727325049871429
rpm_espn,apm_calc,0.0727325049871429
obpm_nbastatr,orapm_sz,0.065039309952555
orapm_sz,obpm_nbastatr,0.065039309952555
orpm_espn,apm_calc,0.063381923170142
apm_calc,orpm_espn,0.0633819231701419
rapm_sz,orpm_espn,0.0596035836453783
orpm_espn,rapm_sz,0.0596035836453782
dbpm_nbastatr,drapm_sz,0.0503027296377863
drapm_sz,dbpm_nbastatr,0.0503027296377863
drpm_espn,pm_nbastatr,0.0491640405412308
pm_nbastatr,drpm_espn,0.0491640405412307
bpm_nbastatr,drpm_espn,0.0471514156025219
drpm_espn,bpm_nbastatr,0.0471514156025219
bpm_nbastatr,orapm_sz,0.045378088881511
orapm_sz,bpm_nbastatr,0.045378088881511
bpm_nbastatr,pm_nbastatr,0.0437862360907186
pm_nbastatr,bpm_nbastatr,0.0437862360907186
drpm_espn,rapm_sz,0.0421981302881646
rapm_sz,drpm_espn,0.0421981302881644
bpm_nbastatr,rapm_sz,0.0418784708517385
rapm_sz,bpm_nbastatr,0.0418784708517385
drapm_calc,rpm_espn,0.0358573735995508
rpm_espn,drapm_calc,0.0358573735995508
dbpm_nbastatr,rapm_both_calc,0.0321596458777148
rapm_both_calc,dbpm_nbastatr,0.0321596458777147
pm_nbastatr,obpm_nbastatr,0.0300633309282655
obpm_nbastatr,pm_nbastatr,0.0300633309282654
drpm_espn,rapm_both_calc,0.029890510958629
rapm_both_calc,drpm_espn,0.029890510958629
obpm_nbastatr,rapm_sz,0.0278430067849582
rapm_sz,obpm_nbastatr,0.0278430067849582
bpm_nbastatr,drapm_calc,0.0273031351896832
drapm_calc,bpm_nbastatr,0.0273031351896832
drapm_sz,rpm_espn,0.0256226549603178
rpm_espn,drapm_sz,0.0256226549603178
dbpm_nbastatr,rapm_calc,0.0191712616443946
rapm_calc,dbpm_nbastatr,0.0191712616443945
dbpm_nbastatr,pm_nbastatr,0.0191675606643701
pm_nbastatr,dbpm_nbastatr,0.0191675606643701
dbpm_nbastatr,rapm_sz,0.0189408863288002
rapm_sz,dbpm_nbastatr,0.0189408863288002
drpm_espn,rapm_calc,0.0175992787192625
rapm_calc,drpm_espn,0.0175992787192625
dbpm_nbastatr,obpm_nbastatr,0.0168123083678909
obpm_nbastatr,dbpm_nbastatr,0.0168123083678909
drapm_calc,orapm_calc,0.00980778272906946
orapm_calc,drapm_calc,0.00980778272906946
dbpm_nbastatr,apm_calc,0.00682022712965391
apm_calc,dbpm_nbastatr,0.0068202271296538
drpm_espn,orpm_espn,0.00644396743999276
orpm_espn,drpm_espn,0.00644396743999276
apm_calc,drpm_espn,0.00598434757858557
drpm_espn,apm_calc,0.00598434757858557
bpm_nbastatr,drapm_sz,0.00277457845592322
drapm_sz,bpm_nbastatr,0.00277457845592322
drapm_calc,orapm_sz,-0.000377715478376395
orapm_sz,drapm_calc,-0.000377715478376395
drapm_sz,orpm_espn,-0.000629465301567267
orpm_espn,drapm_sz,-0.000629465301567267
drpm_espn,obpm_nbastatr,-0.000877407460209811
obpm_nbastatr,drpm_espn,-0.000877407460209811
drapm_sz,obpm_nbastatr,-0.000982228370707494
obpm_nbastatr,drapm_sz,-0.000982228370707494
drapm_sz,orapm_sz,-0.00170173638822768
orapm_sz,drapm_sz,-0.00170173638822768
dbpm_nbastatr,orapm_sz,-0.00179479462730514
orapm_sz,dbpm_nbastatr,-0.00179479462730514
dbpm_nbastatr,orpm_espn,-0.00182293801496436
orpm_espn,dbpm_nbastatr,-0.00182293801496436
drapm_calc,obpm_nbastatr,-0.00206558257836487
obpm_nbastatr,drapm_calc,-0.00206558257836487
drapm_sz,orapm_calc,-0.00232322558811582
orapm_calc,drapm_sz,-0.00232322558811582
dbpm_nbastatr,orapm_calc,-0.00240586902294027
orapm_calc,dbpm_nbastatr,-0.00240586902294027
drpm_espn,orapm_sz,-0.00266485819438733
orapm_sz,drpm_espn,-0.00266485819438733
drapm_calc,orpm_espn,-0.00279731164164621
orpm_espn,drapm_calc,-0.00279731164164621
drpm_espn,orapm_calc,-0.00293424571087253
orapm_calc,drpm_espn,-0.00293424571087253
